"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"Primary",84,0.538522028326904,0.547640238259142,0.0140588828117331,277,-0.648572867015271,0.277,999,"Primary"
"Secondary",50,0.520328668915146,0.522157289395597,0.0199394288182801,501,-0.0917087694495241,0.501,999,"Secondary"
