"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"Primary",80,0.537508006243907,0.547267744320375,0.0139829200542601,246,-0.697975675938588,0.246,999,"Primary"
"Secondary",42,0.483259181091043,0.502072307240908,0.0229459892465469,179,-0.819887342738826,0.179,999,"Secondary"
