"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"Primary",60,0.189962040313232,0.207105592091555,0.0232139253337489,243,-0.738502925802039,0.243,999,"Primary"
"Secondary",29,0.202088175263688,0.198158311517989,0.0275147392454107,566,0.142827584541065,0.566,999,"Secondary"
